"state_abbrev","license_class_name","residency","holder_eligibility","activity_scope","duration","approx_first_year","approx_last_year","was_issued_by_unit","notes","source_url","added_date","first_year_source"
"NC","State Trapping License","Any","General","Trapping/Furbearer","Annual","","","False","License for trapping furbearing animals","https://www.ncwildlife.gov/hunting/hunting-licenses","",""
"NC","Falconry Hunting License","Any","General","Other","Annual","","","False","License for hunting with falconry; Other activity scope as it is specialized","https://www.ncwildlife.gov/hunting/hunting-licenses","",""
"OH","Resident Hunting License","Resident","General","General Hunting","Annual","1913","","False","Standard annual hunting license for OH residents. First issued Sep 27 1913.","https://wildlife.ohiodnr.gov/","",""
"OH","Nonresident Hunting License","Nonresident","General","General Hunting","Annual","1913","","False","Annual hunting license for nonresidents","https://wildlife.ohiodnr.gov/","",""
"OH","One-Day Nonresident Hunting License","Nonresident","General","General Hunting","1-day","","","False","Single-day hunting license for nonresidents","https://wildlife.ohiodnr.gov/","",""
"OH","Youth Hunting License","Any","Youth","General Hunting","Annual","","","False","Reduced-fee license for hunters under 18","https://wildlife.ohiodnr.gov/","",""
"OH","Senior Hunting License","Resident","Senior","General Hunting","Annual","","","False","Reduced-fee license for residents 65+","https://wildlife.ohiodnr.gov/","",""
"OH","Free Senior Hunting License","Resident","Senior","General Hunting","Annual","","","False","Free license for residents born on/before Dec 31 1937","https://wildlife.ohiodnr.gov/","",""
"OH","Disabled Veteran Hunting License","Any","Veteran","General Hunting","Annual","","","False","Free or reduced-fee license for qualifying disabled veterans","https://wildlife.ohiodnr.gov/","",""
"OH","Multi-year Hunting License (3-year)","Resident","General","General Hunting","Multi-year","","","False","Three-year hunting license for residents","https://wildlife.ohiodnr.gov/","",""
"OH","Multi-year Hunting License (5-year)","Resident","General","General Hunting","Multi-year","","","False","Five-year hunting license for residents","https://wildlife.ohiodnr.gov/","",""
"OH","Multi-year Hunting License (10-year)","Resident","General","General Hunting","Multi-year","","","False","Ten-year hunting license for residents","https://wildlife.ohiodnr.gov/","",""
"OH","Adult Lifetime Hunting License","Resident","General","General Hunting","Lifetime","","","False","Lifetime hunting license for adult residents","https://wildlife.ohiodnr.gov/","",""
"OH","Youth Lifetime Hunting License","Resident","Youth","General Hunting","Lifetime","","","False","Lifetime hunting license for residents under 18","https://wildlife.ohiodnr.gov/","",""
"OH","Senior Lifetime Hunting License","Resident","Senior","General Hunting","Lifetime","","","False","Lifetime hunting license for residents 65+","https://wildlife.ohiodnr.gov/","",""
"OH","Apprentice Hunting License","Any","Apprentice","General Hunting","Annual","","","False","For first-time hunters; must hunt with licensed mentor","https://wildlife.ohiodnr.gov/","",""
"PA","Resident Adult Hunting License","Resident","General","General Hunting","Annual","1913","","False","Standard annual hunting license for PA residents. First sold in 1913 for $1.","https://www.pa.gov/agencies/pgc/huntingandtrapping/licenses-and-permits/license-types","",""
"PA","Resident Junior Hunting License","Resident","Junior","General Hunting","Annual","1913","","False","Reduced-fee annual license for resident hunters under 17","https://www.pa.gov/agencies/pgc/huntingandtrapping/licenses-and-permits/license-types","",""
"PA","Resident Senior Hunting License","Resident","Senior","General Hunting","Annual","","","False","Reduced-fee license for resident hunters 65+","https://www.pa.gov/agencies/pgc/huntingandtrapping/licenses-and-permits/license-types","",""
"PA","Resident Senior Lifetime Hunting License","Resident","Senior","General Hunting","Lifetime","","","False","Lifetime hunting license for qualifying senior residents","https://www.pa.gov/agencies/pgc/huntingandtrapping/licenses-and-permits/license-types","",""
"PA","Nonresident Adult Hunting License","Nonresident","General","General Hunting","Annual","1913","","False","Annual hunting license for nonresident adults","https://www.pa.gov/agencies/pgc/huntingandtrapping/licenses-and-permits/license-types","",""
"PA","Nonresident 7-Day Small Game License","Nonresident","General","General Hunting","7-day","","","False","Seven-day small game license for nonresidents","https://www.pa.gov/agencies/pgc/huntingandtrapping/licenses-and-permits/license-types","",""
"PA","Resident Furtaker License","Resident","General","Trapping/Furbearer","Annual","","","False","Annual trapping/fur harvesting license for residents","https://www.pa.gov/agencies/pgc/huntingandtrapping/licenses-and-permits/license-types","",""
"PA","Nonresident Furtaker License","Nonresident","General","Trapping/Furbearer","Annual","","","False","Annual trapping/fur harvesting license for nonresidents","https://www.pa.gov/agencies/pgc/huntingandtrapping/licenses-and-permits/license-types","",""
"PA","Resident Junior Combination License","Resident","Junior","Combo Hunt+Fish","Annual","","","False","Combo hunting and fishing license for resident junior hunters","https://www.pa.gov/agencies/pgc/huntingandtrapping/licenses-and-permits/license-types","",""
"PA","Mentored Youth Permit","Resident","Youth","General Hunting","Annual","","","False","For youth hunters hunting under direct adult supervision","https://www.pa.gov/agencies/pgc/huntingandtrapping/licenses-and-permits/license-types","",""
"PA","Resident Disabled Veteran Hunting License","Resident","Veteran","General Hunting","Annual","","","False","Free or reduced-fee license for qualifying disabled veteran residents","https://www.pa.gov/agencies/pgc/huntingandtrapping/licenses-and-permits/license-types","",""
"PA","Resident Military Hunting License","Resident","Military","General Hunting","Annual","","","False","Reduced-fee license for qualifying active military residents","https://www.pa.gov/agencies/pgc/huntingandtrapping/licenses-and-permits/license-types","",""
"TN","Resident Junior Hunt/Fish/Trap License","Resident","Junior","Sportsman","Annual","","","False","All-inclusive license for resident youth","https://www.tn.gov/twra/license-sales.html","",""
"TN","Resident Combination Hunt/Fish License","Resident","General","Combo Hunt+Fish","Annual","1920","","False","Standard resident hunting and fishing combination","https://www.tn.gov/twra/license-sales.html","",""
"TN","Resident Annual Sportsman License","Resident","General","Sportsman","Annual","","","False","All-inclusive annual sportsman license for residents","https://www.tn.gov/twra/license-sales.html","",""
"TN","Resident Senior Sportsman License (65+)","Resident","Senior","Sportsman","Annual","","","False","Reduced-fee sportsman license for residents 65+","https://www.tn.gov/twra/license-sales.html","",""
"TN","Resident Senior Citizen Hunt/Fish/Trap License","Resident","Senior","Sportsman","Annual","","","False","Full combo license for senior residents","https://www.tn.gov/twra/license-sales.html","",""
"TN","Resident Permanent Senior Citizen License","Resident","Senior","Sportsman","Lifetime","","","False","Permanent (lifetime) license for qualifying senior residents","https://www.tn.gov/twra/license-sales.html","",""
"TN","Resident Lifetime Sportsman License","Resident","General","Sportsman","Lifetime","","","False","One-time purchase lifetime sportsman license for residents","https://www.tn.gov/twra/license-sales.html","",""
"TN","Nonresident 7-Day All Game License","Nonresident","General","Sportsman","7-day","","","False","Seven-day all-game license for nonresidents","https://www.tn.gov/twra/license-sales.html","",""
"TN","Nonresident Annual All Game License","Nonresident","General","Sportsman","Annual","","","False","Annual all-game license for nonresidents","https://www.tn.gov/twra/license-sales.html","",""
"TN","Nonresident 7-Day Hunt/Small Game/Waterfowl","Nonresident","General","General Hunting","7-day","","","False","Seven-day small game and waterfowl license for nonresidents","https://www.tn.gov/twra/license-sales.html","",""
"TN","Nonresident Annual Hunt/Small Game/Waterfowl","Nonresident","General","General Hunting","Annual","","","False","Annual small game and waterfowl license for nonresidents","https://www.tn.gov/twra/license-sales.html","",""
"TN","Apprentice Hunter Education Permit","Any","Apprentice","General Hunting","Annual","","","False","For first-time hunters prior to completing hunter education","https://www.tn.gov/twra/license-sales.html","",""
"TN","Nonresident Native Tennessean License","Nonresident","General","General Hunting","Annual","","","False","Nonresidents born in TN receive resident rates","https://www.tn.gov/twra/license-sales.html","",""
"TN","Disabled Veteran Hunting and Fishing License","Any","Veteran","Combo Hunt+Fish","Annual","","","False","Reduced-fee combo license for qualifying disabled veterans","https://www.tn.gov/twra/license-sales.html","",""
"TN","Wheelchair Hunt/Fish License","Any","Disabled","Combo Hunt+Fish","Annual","","","False","For hunters using wheelchairs or with qualifying mobility impairments","https://www.tn.gov/twra/license-sales.html","",""
"TX","Resident General Hunting License","Resident","General","General Hunting","Annual","1909","","False","Standard annual hunting license for TX residents","https://tpwd.texas.gov/regulations/outdoor-annual/licenses/hunting-licenses-and-permits/hunting-licenses","",""
"TX","Nonresident General Hunting License","Nonresident","General","General Hunting","Annual","1909","","False","Annual hunting license for nonresidents","https://tpwd.texas.gov/regulations/outdoor-annual/licenses/hunting-licenses-and-permits/hunting-licenses","",""
"TX","Nonresident Special 5-Day Small Game License","Nonresident","General","General Hunting","5-day","","","False","Five-day small game license for nonresidents","https://tpwd.texas.gov/regulations/outdoor-annual/licenses/hunting-licenses-and-permits/hunting-licenses","",""
"TX","Senior Resident Hunting License","Resident","Senior","General Hunting","Annual","","","False","Reduced-fee license for resident hunters 65+","https://tpwd.texas.gov/regulations/outdoor-annual/licenses/hunting-licenses-and-permits/hunting-licenses","",""
"TX","Youth Hunting License","Any","Youth","General Hunting","Annual","","","False","Reduced-fee license for hunters under 17","https://tpwd.texas.gov/regulations/outdoor-annual/licenses/hunting-licenses-and-permits/hunting-licenses","",""
"TX","Lifetime Hunting License","Resident","General","General Hunting","Lifetime","","","False","One-time purchase lifetime hunting license for residents","https://tpwd.texas.gov/regulations/outdoor-annual/licenses/hunting-licenses-and-permits/hunting-licenses","",""
"TX","Disabled Veteran Hunting License","Any","Veteran","General Hunting","Annual","","","False","Free or reduced-fee license for qualifying disabled veterans","https://tpwd.texas.gov/regulations/outdoor-annual/licenses/hunting-licenses-and-permits/hunting-licenses","",""
"TX","Resident Super Combo License","Resident","General","Sportsman","Annual","","","False","All-inclusive combo covering hunting fishing and endorsements","https://tpwd.texas.gov/regulations/outdoor-annual/licenses/hunting-licenses-and-permits/hunting-licenses","",""
"TX","Nonresident Super Combo License","Nonresident","General","Sportsman","Annual","","","False","All-inclusive combo for nonresidents","https://tpwd.texas.gov/regulations/outdoor-annual/licenses/hunting-licenses-and-permits/hunting-licenses","",""
"TX","Trapper's License","Any","General","Trapping/Furbearer","Annual","","","False","License for trapping furbearing animals","https://tpwd.texas.gov/regulations/outdoor-annual/licenses/hunting-licenses-and-permits/hunting-licenses","",""
"VT","Resident Hunting License","Resident","General","General Hunting","Annual","1908","","False","Standard annual hunting license for VT residents","https://www.eregulations.com/vermont/hunting/license-information","",""
"VT","Nonresident Hunting License","Nonresident","General","General Hunting","Annual","1908","","False","Annual hunting license for nonresidents","https://www.eregulations.com/vermont/hunting/license-information","",""
"VT","Resident Combination Hunting and Fishing License","Resident","General","Combo Hunt+Fish","Annual","","","False","Resident combo hunting and fishing","https://www.eregulations.com/vermont/hunting/license-information","",""
"VT","Youth Hunting License (under 18)","Any","Youth","General Hunting","Annual","","","False","Reduced-fee license for hunters under 18","https://www.eregulations.com/vermont/hunting/license-information","",""
"VT","Mentored Hunting License","Any","Apprentice","General Hunting","Annual","","","False","For first-time hunters hunting under direct adult mentorship","https://www.eregulations.com/vermont/hunting/license-information","",""
"VT","Permanent License (66+)","Resident","Senior","General Hunting","Lifetime","","","False","One-time $60 permanent license for residents 66+","https://www.eregulations.com/vermont/hunting/license-information","",""
"VT","Lifetime License","Resident","General","General Hunting","Lifetime","","","False","Age-tiered pricing lifetime license for residents","https://www.eregulations.com/vermont/hunting/license-information","",""
"VT","Trapping License","Any","General","Trapping/Furbearer","Annual","","","False","Annual license for trapping furbearing animals","https://www.eregulations.com/vermont/hunting/license-information","",""
"VT","Free License (Paraplegic)","Any","Disabled","General Hunting","Annual","","","False","Free annual license for paraplegic hunters","https://www.eregulations.com/vermont/hunting/license-information","",""
"VT","Free License (60%+ Disabled Veteran)","Any","Veteran","General Hunting","Annual","","","False","Free annual license for veterans with 60%+ disability rating","https://www.eregulations.com/vermont/hunting/license-information","",""
"VT","Free License (Tribal Member)","Any","Honorary","General Hunting","Annual","","","False","Free license for recognized tribal members","https://www.eregulations.com/vermont/hunting/license-information","",""
"VA","Resident Hunting License (1-year)","Resident","General","General Hunting","Annual","1916","","False","Standard annual hunting license for VA residents","https://dwr.virginia.gov/hunting/regulations/licenses/","",""
"VA","Resident Hunting License (2-year)","Resident","General","General Hunting","Multi-year","","","False","Two-year hunting license for residents","https://dwr.virginia.gov/hunting/regulations/licenses/","",""
"VA","Resident Hunting License (3-year)","Resident","General","General Hunting","Multi-year","","","False","Three-year hunting license for residents","https://dwr.virginia.gov/hunting/regulations/licenses/","",""
"VA","Resident Hunting License (4-year)","Resident","General","General Hunting","Multi-year","","","False","Four-year hunting license for residents","https://dwr.virginia.gov/hunting/regulations/licenses/","",""
"VA","Resident County or City Hunting License","Resident","General","General Hunting","Annual","","","True","County/city-specific license cheaper than statewide; valid only in named jurisdiction","https://dwr.virginia.gov/hunting/regulations/licenses/","",""
"VA","Resident Junior Hunting License","Resident","Junior","General Hunting","Annual","","","False","Reduced-fee license for resident youth hunters","https://dwr.virginia.gov/hunting/regulations/licenses/","",""
"VA","Resident Youth Combination Hunting License","Resident","Youth","Combo Hunt+Fish","Annual","","","False","Youth combo hunting and fishing license","https://dwr.virginia.gov/hunting/regulations/licenses/","",""
"VA","Resident Sportsman's License","Resident","General","Sportsman","Annual","","","False","All-inclusive sportsman license for residents","https://dwr.virginia.gov/hunting/regulations/licenses/","",""
"VA","Resident Senior Citizen Hunting License (65+)","Resident","Senior","General Hunting","Annual","","","False","Reduced-fee license for residents 65+","https://dwr.virginia.gov/hunting/regulations/licenses/","",""
"VA","Nonresident Hunting License","Nonresident","General","General Hunting","Annual","1916","","False","Annual hunting license for nonresidents","https://dwr.virginia.gov/hunting/regulations/licenses/","",""
"VA","Nonresident 3-Day Hunt License","Nonresident","General","General Hunting","3-day","","","False","Three-day short-term hunting license for nonresidents","https://dwr.virginia.gov/hunting/regulations/licenses/","",""
"VA","Resident Fox Hunting License","Resident","General","Other","Annual","","","False","License specifically for fox hunting; Other activity scope","https://dwr.virginia.gov/hunting/regulations/licenses/","",""
"VA","Disabled Veteran Lifetime License","Any","Veteran","General Hunting","Lifetime","","","False","Free lifetime license for qualifying disabled veterans","https://dwr.virginia.gov/hunting/regulations/licenses/","",""
"VA","Legacy License (Youth Lifetime)","Resident","Youth","General Hunting","Lifetime","","","False","Lifetime license purchased for youth residents","https://dwr.virginia.gov/hunting/regulations/licenses/","",""
"VA","Trapping License","Any","General","Trapping/Furbearer","Annual","","","False","Annual license for trapping furbearing animals","https://dwr.virginia.gov/hunting/regulations/licenses/","",""
"WV","Hunting License Class A","Resident","General","General Hunting","Annual","1909","","False","Standard annual hunting license for WV residents","https://wvdnr.gov/frequently-asked-questions/regulations-and-licenses/","",""
"WV","Sportsman License Class X","Any","General","Sportsman","Annual","","","False","All-inclusive sportsman license","https://wvdnr.gov/frequently-asked-questions/regulations-and-licenses/","",""
"WV","3-Year Sportsman License Class X3","Resident","General","Sportsman","Multi-year","","","False","Three-year sportsman license for residents","https://wvdnr.gov/frequently-asked-questions/regulations-and-licenses/","",""
"WV","Permanent Sportsman License Class XP","Resident","General","Sportsman","Lifetime","","","False","Permanent (lifetime) sportsman license for residents","https://wvdnr.gov/frequently-asked-questions/regulations-and-licenses/","",""
"WV","Junior Sportsman License Class XJ","Any","Junior","Sportsman","Annual","","","False","All-inclusive sportsman license for youth","https://wvdnr.gov/frequently-asked-questions/regulations-and-licenses/","",""
"WV","Senior Hunting/Trapping/Fishing License Class XS","Resident","Senior","Sportsman","Annual","","","False","Free all-inclusive license for residents 65+","https://wvdnr.gov/frequently-asked-questions/regulations-and-licenses/","",""
"WV","Lifetime Hunting License Class A-L","Resident","General","General Hunting","Lifetime","","","False","Lifetime hunting license for residents","https://wvdnr.gov/frequently-asked-questions/regulations-and-licenses/","",""
"WV","Lifetime Combo License Class AB-L","Resident","General","Combo Hunt+Fish","Lifetime","","","False","Lifetime combo hunting and fishing for residents","https://wvdnr.gov/frequently-asked-questions/regulations-and-licenses/","",""
"WV","Nonresident Hunting License Class E","Nonresident","General","General Hunting","Annual","1899","","False","Annual hunting license for nonresidents. WV first issued NR license in 1899.","https://wvdnr.gov/frequently-asked-questions/regulations-and-licenses/","",""
"WV","Nonresident Bear Hunting License Class EE","Nonresident","General","Big Game","Annual","","","False","Bear-specific hunting license for nonresidents","https://wvdnr.gov/frequently-asked-questions/regulations-and-licenses/","",""
"WV","Nonresident Junior Sportsman License Class XXJ","Nonresident","Junior","Sportsman","Annual","","","False","All-inclusive sportsman license for nonresident youth","https://wvdnr.gov/frequently-asked-questions/regulations-and-licenses/","",""
"WV","Apprentice Hunting License Class AH","Any","Apprentice","General Hunting","Annual","","","False","For first-time hunters; must hunt with licensed mentor","https://wvdnr.gov/frequently-asked-questions/regulations-and-licenses/","",""
"WV","Disabled Hunting Permit Class Q","Any","Disabled","General Hunting","Annual","","","False","Special permit for qualifying disabled hunters","https://wvdnr.gov/frequently-asked-questions/regulations-and-licenses/","",""
"WI","Resident Small Game License","Resident","General","General Hunting","Annual","1897","","False","Standard annual small game hunting license for WI residents. First issued 1897.","https://www.eregulations.com/wisconsin/hunting/hunting-licenses-and-fees","",""
"WI","Resident Gun Deer License","Resident","General","Big Game","Annual","1897","","False","Annual firearm deer hunting license for residents","https://www.eregulations.com/wisconsin/hunting/hunting-licenses-and-fees","",""
"WI","Resident Archer License","Resident","General","Big Game","Annual","","","False","Annual archery deer hunting license for residents","https://www.eregulations.com/wisconsin/hunting/hunting-licenses-and-fees","",""
"WI","Nonresident Small Game License","Nonresident","General","General Hunting","Annual","1897","","False","Annual small game license for nonresidents","https://www.eregulations.com/wisconsin/hunting/hunting-licenses-and-fees","",""
"WI","Nonresident 5-Day Small Game License","Nonresident","General","General Hunting","5-day","","","False","Five-day small game license for nonresidents","https://www.eregulations.com/wisconsin/hunting/hunting-licenses-and-fees","",""
"WI","Conservation Patron License","Resident","General","Sportsman","Annual","","","False","All-inclusive bundle covering multiple activities","https://www.eregulations.com/wisconsin/hunting/hunting-licenses-and-fees","",""
"WI","Junior Conservation Patron License","Resident","Junior","Sportsman","Annual","","","False","All-inclusive bundle for resident youth","https://www.eregulations.com/wisconsin/hunting/hunting-licenses-and-fees","",""
"WI","Sports License","Resident","General","Combo Hunt+Fish","Annual","","","False","Resident combo hunting and fishing license","https://www.eregulations.com/wisconsin/hunting/hunting-licenses-and-fees","",""
"WI","Resident Trapping License","Resident","General","Trapping/Furbearer","Annual","","","False","Annual trapping license for residents","https://www.eregulations.com/wisconsin/hunting/hunting-licenses-and-fees","",""
"WI","Youth Small Game License","Any","Youth","General Hunting","Annual","","","False","Reduced-fee small game license for hunters under 18","https://www.eregulations.com/wisconsin/hunting/hunting-licenses-and-fees","",""
"WI","Senior Small Game License","Resident","Senior","General Hunting","Annual","","","False","Reduced-fee license for residents 65+","https://www.eregulations.com/wisconsin/hunting/hunting-licenses-and-fees","",""
"WY","Conservation Stamp","Any","General","General Hunting","Annual","1899","","False","Prerequisite conservation stamp required before all hunting licenses","https://wgfd.wyo.gov/licenses-applications/license-fee-list","",""
"WY","General Elk License (OTC)","Any","General","Big Game","Annual","","","True","Over-the-counter general elk license; hunt area specific","https://wgfd.wyo.gov/licenses-applications/license-fee-list","",""
"WY","Limited Quota Elk License","Any","General","Big Game","Annual","","","True","Draw-only limited quota elk license; hunt area specific","https://wgfd.wyo.gov/licenses-applications/license-fee-list","",""
"WY","General Deer License (OTC)","Any","General","Big Game","Annual","","","True","Over-the-counter general deer license; hunt area specific","https://wgfd.wyo.gov/licenses-applications/license-fee-list","",""
"WY","Limited Quota Deer License","Any","General","Big Game","Annual","","","True","Draw-only limited quota deer license; hunt area specific","https://wgfd.wyo.gov/licenses-applications/license-fee-list","",""
"WY","Limited Quota Antelope License","Any","General","Big Game","Annual","","","True","Draw-only limited quota antelope license; hunt area specific","https://wgfd.wyo.gov/licenses-applications/license-fee-list","",""
"WY","Bird/Small Game License","Any","General","General Hunting","Annual","","","False","License for upland birds and small game","https://wgfd.wyo.gov/licenses-applications/license-fee-list","",""
"WY","Pioneer License (65+ 30-year resident)","Resident","Senior","General Hunting","Annual","","","False","Reduced-fee license for residents 65+ who have been residents for 30+ years","https://wgfd.wyo.gov/licenses-applications/license-fee-list","",""
"WY","Pioneer Heritage License","Resident","Senior","General Hunting","Annual","","","False","Heritage license for long-term senior residents","https://wgfd.wyo.gov/licenses-applications/license-fee-list","",""
"WY","Disabled Veteran License","Any","Veteran","General Hunting","Annual","","","False","Free or reduced-fee license for qualifying disabled veterans","https://wgfd.wyo.gov/licenses-applications/license-fee-list","",""
"WY","Youth Hunting License","Any","Youth","General Hunting","Annual","","","False","Reduced-fee hunting license for youth","https://wgfd.wyo.gov/licenses-applications/license-fee-list","",""
"NJ","Resident Firearm Hunting License","Resident","General","General Hunting","Annual","1909","","False","Standard annual firearm hunting license for NJ residents. Calendar year, expires Dec 31.","https://dep.nj.gov/njfw/hunting/nj-hunting-trapping-license-information/","2026-08-27",""
"NJ","Senior Resident Firearm Hunting License","Resident","Senior","General Hunting","Annual","","","False","Reduced-fee firearm license for residents 65 and older.","https://dep.nj.gov/njfw/hunting/nj-hunting-trapping-license-information/","2026-08-27",""
"NJ","Non-Resident Firearm Hunting License","Nonresident","General","General Hunting","Annual","1902","","False","NJ's first license of any kind was a nonresident hunting license introduced in 1902.","https://dep.nj.gov/njfw/hunting/nj-hunting-trapping-license-information/","2026-08-27",""
"NJ","Non-Resident Two-Day Small Game Firearm Hunting License","Nonresident","General","General Hunting","2-day","","","False","Two consecutive days; small game including waterfowl. Not valid for wild turkey.","https://dep.nj.gov/njfw/hunting/nj-hunting-trapping-license-information/","2026-08-27",""
"NJ","Special One-Day Hunting License","Any","General","General Hunting","1-day","","","False","Valid only on a licensed commercial shooting preserve on the day issued.","https://dep.nj.gov/njfw/hunting/nj-hunting-trapping-license-information/","2026-08-27",""
"NJ","Youth Hunting License","Any","Youth","General Hunting","Annual","","","False","Free for youths 15 and under with hunter education; valid until end of the year the holder turns 16.","https://dep.nj.gov/njfw/hunting/nj-hunting-trapping-license-information/","2026-08-27",""
"NJ","Resident Bow and Arrow Hunting License","Resident","General","General Hunting","Annual","","","False","Annual archery license for NJ residents.","https://dep.nj.gov/njfw/hunting/nj-hunting-trapping-license-information/","2026-08-27",""
"NJ","Senior Resident Bow and Arrow Hunting License","Resident","Senior","General Hunting","Annual","","","False","Reduced-fee archery license for residents 65 and older.","https://dep.nj.gov/njfw/hunting/nj-hunting-trapping-license-information/","2026-08-27",""
"NJ","Non-Resident Bow and Arrow Hunting License","Nonresident","General","General Hunting","Annual","","","False","Annual archery license for nonresidents.","https://dep.nj.gov/njfw/hunting/nj-hunting-trapping-license-information/","2026-08-27",""
"NJ","Resident Trapping License","Resident","General","Trapping/Furbearer","Annual","","","False","Annual trapping license for NJ residents.","https://dep.nj.gov/njfw/hunting/nj-hunting-trapping-license-information/","2026-08-27",""
"NJ","Non-Resident Trapping License","Nonresident","General","Trapping/Furbearer","Annual","","","False","Annual trapping license for nonresidents.","https://dep.nj.gov/njfw/hunting/nj-hunting-trapping-license-information/","2026-08-27",""
"NJ","All-Around Sportsman License","Resident","General","Sportsman","Annual","","","False","Bundles resident firearm hunting, bow and arrow hunting and fishing licenses.","https://dep.nj.gov/njfw/hunting/nj-hunting-trapping-license-information/","2026-08-27",""
"NJ","Apprentice Hunting License","Any","Apprentice","General Hunting","Annual","","","False","For those without hunter education; apprentice must hunt with a mentor. Same fees as regular licenses.","https://dep.nj.gov/njfw/hunting/nj-hunting-trapping-license-information/","2026-08-27",""
"NJ","Disabled Veteran Free License","Resident","Veteran","General Hunting","Annual","","","False","Free licenses, stamps and permits for resident veterans with a service-connected disability.","https://dep.nj.gov/njfw/hunting/nj-hunting-trapping-license-information/","2026-08-27",""
"NJ","National Guard Free License","Resident","Military","General Hunting","Annual","","","False","Free licenses, permits and stamps for eligible active NJ National Guard personnel.","https://dep.nj.gov/njfw/hunting/nj-hunting-trapping-license-information/","2026-08-27",""
"DE","Resident Hunting License","Resident","General","General Hunting","Annual","1913","","False","Ages 16 to 64. License year runs July 1 - June 30.","https://dnrec.delaware.gov/fish-wildlife/licenses/fees/","2026-08-27",""
"DE","Non-Resident Hunting License","Nonresident","General","General Hunting","Annual","","","False","Age 16 and over.","https://dnrec.delaware.gov/fish-wildlife/licenses/fees/","2026-08-27",""
"DE","Resident Junior Hunting License","Resident","Junior","General Hunting","Annual","","","False","Ages 13 to 15.","https://dnrec.delaware.gov/fish-wildlife/licenses/fees/","2026-08-27",""
"DE","Non-Resident Junior Hunting License","Nonresident","Junior","General Hunting","Annual","","","False","Ages 13 to 15.","https://dnrec.delaware.gov/fish-wildlife/licenses/fees/","2026-08-27",""
"DE","Non-Resident 3-Day Hunting License (Small Game)","Nonresident","General","General Hunting","3-day","","","False","Small game only, age 16 and over.","https://dnrec.delaware.gov/fish-wildlife/licenses/fees/","2026-08-27",""
"DE","Resident Guide/Hunting License","Resident","General","Other","Annual","","","False","Required for anyone receiving compensation for guide service. Ages 16 to 64.","https://dnrec.delaware.gov/fish-wildlife/licenses/fees/","2026-08-27",""
"DE","Non-Resident Guide/Hunting License","Nonresident","General","Other","Annual","","","False","Required for anyone receiving compensation for guide service.","https://dnrec.delaware.gov/fish-wildlife/licenses/fees/","2026-08-27",""
"DE","Resident Trapping License","Resident","General","Trapping/Furbearer","Annual","","","False","Purchased through the Division of Fish and Wildlife; trappers receive a permanent license number.","https://dnrec.delaware.gov/fish-wildlife/licenses/fees/","2026-08-27",""
"DE","Non-Resident Trapping License","Nonresident","General","Trapping/Furbearer","Annual","","","False","Purchased through the Division of Fish and Wildlife.","https://dnrec.delaware.gov/fish-wildlife/licenses/fees/","2026-08-27",""
"DE","License Exempt Number (LEN)","Any","General","General Hunting","Annual","","","False","Free annual number required of license-exempt hunters and trappers; separate LEN needed for each activity.","https://dnrec.delaware.gov/fish-wildlife/licenses/fees/","2026-08-27",""
"MA","Resident Hunting License","Resident","General","General Hunting","Annual","1909","","False","Includes 2 antlered deer tags valid statewide. Calendar year.","https://www.mass.gov/info-details/license-types-and-fees","2026-08-27",""
"MA","Resident Minor Hunting License","Resident","Youth","General Hunting","Annual","","","False","Ages 15 to 17. Includes 2 antlered deer tags valid statewide.","https://www.mass.gov/info-details/license-types-and-fees","2026-08-27",""
"MA","Resident Hunting License (Age 65-69)","Resident","Senior","General Hunting","Annual","","","False","Half the standard resident rate. Includes 2 antlered deer tags.","https://www.mass.gov/info-details/license-types-and-fees","2026-08-27",""
"MA","Resident/Non-resident Hunting License, Paraplegic","Any","Disabled","General Hunting","Annual","","","False","Free; requires pre-approval through MassWildlife. Includes 2 antlered deer tags.","https://www.mass.gov/info-details/license-types-and-fees","2026-08-27",""
"MA","Non-resident Hunting License, Big Game","Nonresident","General","Big Game","Annual","","","False","Age 15 and over. Includes 2 antlered deer tags valid statewide.","https://www.mass.gov/info-details/license-types-and-fees","2026-08-27",""
"MA","Non-resident Hunting License, Small Game","Nonresident","General","General Hunting","Annual","","","False","Age 15 and over. Does not include deer tags.","https://www.mass.gov/info-details/license-types-and-fees","2026-08-27",""
"MA","Resident Commercial Shooting Preserve License","Resident","General","General Hunting","1-day","","","False","Single-day license valid on commercial shooting preserves.","https://www.mass.gov/info-details/license-types-and-fees","2026-08-27",""
"MA","Non-resident Commercial Shooting Preserve License","Nonresident","General","General Hunting","1-day","","","False","Single-day license valid on commercial shooting preserves.","https://www.mass.gov/info-details/license-types-and-fees","2026-08-27",""
"MA","Resident Sporting License","Resident","General","Combo Hunt+Fish","Annual","","","False","Combination hunting and freshwater fishing. Includes 2 antlered deer tags valid statewide.","https://www.mass.gov/info-details/license-types-and-fees","2026-08-27",""
"MA","Resident Sporting License (Age 65-69)","Resident","Senior","Combo Hunt+Fish","Annual","","","False","Half the standard rate. Includes 2 antlered deer tags.","https://www.mass.gov/info-details/license-types-and-fees","2026-08-27",""
"MA","Resident Sporting License (Age 70 or over)","Resident","Senior","Combo Hunt+Fish","Annual","","","False","Free and includes trapping. Includes 2 antlered deer tags.","https://www.mass.gov/info-details/license-types-and-fees","2026-08-27",""
